Date,portfolio_returns
2015-01-02,0.0004178270644203
2015-01-05,0.0136865710782599
2015-01-06,0.0064723943525395
2015-01-07,0.0078300715697758
2015-01-08,-0.00213116911295
2015-01-09,0.0026400060969074
2015-01-12,0.0064113185529558
2015-01-13,0.0055042882178268
2015-01-14,0.006086703319793
2015-01-15,0.0077823583289136
2015-01-16,-0.0018236968157157
2015-01-20,0.0048639672692094
2015-01-21,-0.0116064034600327
2015-01-22,0.0019405114693867
2015-01-23,0.0056853567011745
2015-01-26,-0.004647558312695
2015-01-27,0.0003903367143885
2015-01-28,0.0098606876071833
2015-01-29,0.0041819567503339
2015-01-30,-0.0157554242835104
2015-02-02,-0.0168677997769068
2015-02-03,-0.011585725130248
2015-02-04,0.0115557345414848
2015-02-05,-0.0040832991349485
2015-02-06,-0.012413976786356
2015-02-09,-0.0109468945820225
2015-02-10,0.0083762744092346
2015-02-11,0.0016487076956746
2015-02-12,-0.0038910603838382
2015-02-13,-0.0166947645879738
2015-02-17,-0.0050809205990024
2015-02-18,0.011411745605481
2015-02-19,-0.0017300022624374
2015-02-20,0.0033321539488593
2015-02-23,0.0100148166397581
2015-02-24,-0.0055483203194491
2015-02-25,-0.0053382970873639
2015-02-26,0.004569283682886
2015-02-27,-0.0002607698009564
2015-03-02,0.0049566751125578
2015-03-03,-0.0038295615521273
2015-03-04,0.0028783544878332
2015-03-05,0.00519331881308
2015-03-06,-0.0032882756956902
2015-03-09,0.0073900532893724
2015-03-10,0.0066893794903104
2015-03-11,-0.0006436586846072
2015-03-12,0.008048690193148
2015-03-13,0.0052337683319292
2015-03-16,0.0071910308687731
2015-03-17,0.0011997525813376
2015-03-18,-0.0079237889665773
2015-03-19,0.015350168855625
2015-03-20,-0.0060301360859289
2015-03-23,-0.0044812493167856
2015-03-24,-0.0005326396207842
2015-03-25,-0.0111723399385442
2015-03-26,0.0007946784336576
2015-03-27,0.0116761208349321
2015-03-30,-0.0017342847155777
2015-03-31,-0.0025001316736923
2015-04-01,-0.0060779312346354
2015-04-02,-0.0022366428795188
2015-04-06,-0.0091311815827803
2015-04-07,-0.0020280586447607
2015-04-08,0.0065741328146074
2015-04-09,-0.006773948789192
2015-04-10,0.0032886652098738
2015-04-13,-0.0038452143199338
2015-04-14,-0.0075682667945625
2015-04-15,-0.0147889092942079
2015-04-16,0.0047013596872728
2015-04-17,-0.0005644053902063
2015-04-20,0.0003854938133902
2015-04-21,0.0131726970611809
2015-04-22,-0.0050439101364493
2015-04-23,-0.0034688751402266
2015-04-24,0.0001717939967473
2015-04-27,-0.0093351782754414
2015-04-28,-0.0059002972439236
2015-04-29,-0.0094859058170162
2015-04-30,-0.0070688825670141
2015-05-01,0.0067257880963172
2015-05-04,0.002541402843908
2015-05-05,-0.0050622251910966
2015-05-06,0.0048336477698861
2015-05-07,0.0093325773817253
2015-05-08,-0.0010186388122038
2015-05-11,0.0026052285609634
2015-05-12,0.0004624976824138
2015-05-13,-0.0025324601679858
2015-05-14,0.0062045541398836
2015-05-15,-0.0019102097902894
2015-05-18,0.005330367131004
2015-05-19,0.0100543817182513
2015-05-20,-0.0044108338085179
2015-05-21,-0.0019856955476987
2015-05-22,0.0008939434616435
2015-05-26,0.0081028668595238
2015-05-27,0.0050638806412026
2015-05-28,0.0014727890147043
2015-05-29,0.0036644133018279
2015-06-01,0.0037470622745029
2015-06-02,-0.0088010098152365
2015-06-03,0.0059047301892035
2015-06-04,-0.0007509642951861
2015-06-05,0.0019729756474081
2015-06-08,0.0007757336035346
2015-06-09,0.001164654858406
2015-06-10,0.0013812351212128
2015-06-11,0.001539645791248
2015-06-12,0.0011109747668662
2015-06-15,0.0038133536299111
2015-06-16,0.003064537734428
2015-06-17,-0.0011313413434758
2015-06-18,0.0024243668981325
2015-06-19,0.0030759627511611
2015-06-22,0.0010256881579601
2015-06-23,0.0007369376509322
2015-06-24,-0.0014046086106392
2015-06-25,0.0111519156399046
2015-06-26,-0.0003719410987161
2015-06-29,0.0002417413422999
2015-06-30,0.0044511147766541
2015-07-01,0.0088279843130781
2015-07-02,-0.003347642923718
2015-07-06,0.0078439226354829
2015-07-07,-0.0049330630473759
2015-07-08,0.00389641194023
2015-07-09,0.0027086337726247
2015-07-10,0.0081894124250589
2015-07-13,-0.0028435087417744
2015-07-14,0.0003389502479484
2015-07-15,0.0078515986201511
2015-07-16,0.0058023424312975
2015-07-17,0.006929628795989
2015-07-20,0.0141183463394569
2015-07-21,-0.0037078080740797
2015-07-22,0.0068871439153946
2015-07-23,4.80112354463518e-05
2015-07-24,0.0040827492743179
2015-07-27,-0.0055318135273152
2015-07-28,-0.0068594414973898
2015-07-29,-0.0033825498760252
2015-07-30,0.001264682449096
2015-07-31,0.006825684543582
2015-08-03,0.0065940307954292
2015-08-04,0.0040389967870725
2015-08-05,0.00731823467254
2015-08-06,-0.0151210374861791
2015-08-07,0.0104948408431687
