Date,portfolio_returns
1999-01-05,0.006713067902406965
1999-01-06,0.017278527645573846
1999-01-07,-0.004864426762102988
1999-01-08,0.004225867187820093
1999-01-11,-0.006017329104631637
1999-01-12,-0.013452780473093819
1999-01-13,-0.008104714079543208
1999-01-14,-0.01273162732273247
1999-01-15,0.020730569727600942
1999-01-19,0.0018569645687299106
1999-01-20,-0.003908253330837514
1999-01-21,-0.011934906078248701
1999-01-22,-0.004383865306292016
1999-01-25,0.0016553732250984337
1999-01-26,0.0033473751624190032
1999-01-27,-0.007284785177596279
1999-01-28,0.010246529589390329
1999-01-29,0.007245318085676879
1999-02-01,-0.0033130846962513578
1999-02-02,-0.006715020014239834
1999-02-03,0.009257861047111375
1999-02-04,-0.008999979362087056
1999-02-05,-0.00564642942829656
1999-02-08,0.0017001084184857407
1999-02-09,-0.016486513621667406
1999-02-10,-0.00474473735797866
1999-02-11,0.015565806539086763
1999-02-12,-0.015505408191638882
1999-02-16,0.002583925177196863
1999-02-17,-0.013598384160601985
1999-02-18,0.004814660677993412
1999-02-19,0.0024252109066783102
1999-02-22,0.01961757531387417
1999-02-23,7.849475375873248e-05
1999-02-24,-0.009420973765082418
1999-02-25,-0.006480971839649245
1999-02-26,-0.0033769802491946813
1999-03-01,0.0018465062955074288
1999-03-02,-0.001663014834994626
1999-03-03,-0.002212215630424854
1999-03-04,0.010700255593134316
1999-03-05,0.01444732689933257
1999-03-08,0.0026872227980575996
1999-03-09,-0.005265375555011059
1999-03-10,0.006312569511155382
1999-03-11,0.004131924114682108
1999-03-12,-0.0037925155060775633
1999-03-15,0.004685053288481364
1999-03-16,-0.0011728977734815097
1999-03-17,-0.0015094458784596122
1999-03-18,0.005871487250254635
1999-03-19,-0.009087563832337178
1999-03-22,-0.005367007049831003
1999-03-23,-0.025273455609064386
1999-03-24,0.006841996878810593
1999-03-25,0.013025174207379111
1999-03-26,-0.0023677395143191044
1999-03-29,0.015221045249254262
1999-03-30,-0.008526031451170079
1999-03-31,-0.00372250267690034
1999-04-01,0.00037714270002299586
1999-04-05,0.009304334739590504
1999-04-06,-0.007449516001285451
1999-04-07,-0.003805865759488598
1999-04-08,0.007008241747055065
1999-04-09,0.006873048693604678
1999-04-12,0.007833012467820042
1999-04-13,0.00021665052729601922
1999-04-14,0.009941619446979006
1999-04-15,0.012926013935047255
1999-04-16,0.009118828352303184
1999-04-19,-0.0036921633693830763
1999-04-20,0.001323219204723389
1999-04-21,0.014220313378569199
1999-04-22,0.006598107825549751
1999-04-23,0.002503172536575922
1999-04-26,0.0004933591393532905
1999-04-27,0.0066073660035972015
1999-04-28,0.00149931723804631
1999-04-29,0.001824821753125119
1999-04-30,-0.0030105500719061944
1999-05-03,0.014568671087947523
1999-05-04,-0.005306690559541083
1999-05-05,0.004323982262585143
1999-05-06,-0.005448652433403976
1999-05-07,0.005434876470302291
1999-05-10,0.0015179537409521961
1999-05-11,0.008682694045407198
1999-05-12,0.003411144768023595
1999-05-13,0.00493358344133139
1999-05-14,-0.016741445682947484
1999-05-17,-0.003966359743731125
1999-05-18,-0.003263549931033515
1999-05-19,0.01024691285715601
1999-05-20,0.0020331295095539896
1999-05-21,-0.0006966612262570877
1999-05-24,-0.013404902584259661
1999-05-25,-0.011999012808022291
1999-05-26,0.005421129004807132
1999-05-27,-0.011284318933370948
1999-05-28,0.012089310523895166
1999-06-01,-0.0021553136636421125
1999-06-02,0.002118338567223204
1999-06-03,0.003211218746988537
1999-06-04,0.012038368887084911
1999-06-07,0.006470574029927692
1999-06-08,-0.006753988804581327
1999-06-09,-0.0009005634375644674
1999-06-10,-0.006841208144736715
1999-06-11,-0.005816720976932355
1999-06-14,-0.0017291521064763267
1999-06-15,0.002660697425489315
1999-06-16,0.014509965566430057
